Language,Task,Assistant,Strategy,Likert
English,A,A,Strat1,4
English,A,A,Strat1,5
English,A,A,Strat1,2
English,A,A,Strat1,4
English,A,A,Strat1,2
English,A,A,Strat1,3
English,A,A,Strat1,5
English,A,A,Strat1,5
English,A,A,Strat1,4
English,A,A,Strat1,3
English,A,A,Strat1,5
English,A,A,Strat1,2
English,A,A,Strat1,3
English,A,A,Strat1,2
English,A,A,Strat1,2
English,A,A,Strat1,4
English,A,A,Strat1,4
English,A,A,Strat1,5
English,A,A,Strat1,1
English,A,A,Strat1,3
English,A,A,Strat1,4
English,A,A,Strat1,5
English,A,A,Strat1,4
English,A,A,Strat1,4
English,A,A,Strat1,5
English,A,A,Strat1,4
English,A,A,Strat1,2
English,A,A,Strat1,1
English,A,A,Strat1,3
English,A,A,Strat1,2
English,A,A,Strat1,4
English,A,A,Strat1,4
English,A,A,Strat1,5
English,A,A,Strat1,5
English,A,A,Strat1,4
English,A,A,Strat1,5
English,A,A,Strat1,5
English,A,A,Strat1,4
English,A,A,Strat1,5
English,A,A,Strat1,4
English,A,A,Strat1,4
English,A,A,Strat1,4
English,A,A,Strat1,4
English,A,A,Strat1,4
English,A,A,Strat1,4
English,A,A,Strat1,5
English,A,A,Strat1,4
English,A,A,Strat1,3
English,A,A,Strat1,5
English,A,A,Strat1,5
English,A,B,Strat1,2
English,A,B,Strat1,2
English,A,B,Strat1,2
English,A,B,Strat1,3
English,A,B,Strat1,1
English,A,B,Strat1,2
English,A,B,Strat1,3
English,A,B,Strat1,1
English,A,B,Strat1,4
English,A,B,Strat1,2
English,A,B,Strat1,2
English,A,B,Strat1,2
English,A,B,Strat1,3
English,A,B,Strat1,2
English,A,B,Strat1,2
English,A,B,Strat1,2
English,A,B,Strat1,3
English,A,B,Strat1,3
English,A,B,Strat1,2
English,A,B,Strat1,3
English,A,B,Strat1,2
English,A,B,Strat1,2
English,A,B,Strat1,1
English,A,B,Strat1,4
English,A,B,Strat1,4
English,A,B,Strat1,4
English,A,B,Strat1,2
English,A,B,Strat1,4
English,A,B,Strat1,3
English,A,B,Strat1,1
English,A,B,Strat1,1
English,A,B,Strat1,2
English,A,B,Strat1,2
English,A,B,Strat1,3
English,A,B,Strat1,1
English,A,B,Strat1,5
English,A,B,Strat1,3
English,A,B,Strat1,2
English,A,B,Strat1,4
English,A,B,Strat1,2
English,A,B,Strat1,1
English,A,B,Strat1,3
English,A,B,Strat1,1
English,A,B,Strat1,3
English,A,B,Strat1,4
English,A,B,Strat1,2
English,A,B,Strat1,4
English,A,B,Strat1,2
English,A,B,Strat1,5
English,A,B,Strat1,3
English,A,A,Strat2,2
English,A,A,Strat2,5
English,A,A,Strat2,1
English,A,A,Strat2,4
English,A,A,Strat2,1
English,A,A,Strat2,3
English,A,A,Strat2,5
English,A,A,Strat2,5
English,A,A,Strat2,5
English,A,A,Strat2,5
English,A,A,Strat2,5
English,A,A,Strat2,1
English,A,A,Strat2,3
English,A,A,Strat2,2
English,A,A,Strat2,4
English,A,A,Strat2,5
English,A,A,Strat2,4
English,A,A,Strat2,5
English,A,A,Strat2,3
English,A,A,Strat2,2
English,A,A,Strat2,5
English,A,A,Strat2,4
English,A,A,Strat2,4
English,A,A,Strat2,4
English,A,A,Strat2,5
English,A,A,Strat2,5
English,A,A,Strat2,4
English,A,A,Strat2,1
English,A,A,Strat2,5
English,A,A,Strat2,5
English,A,A,Strat2,5
English,A,A,Strat2,4
English,A,A,Strat2,4
English,A,A,Strat2,5
English,A,A,Strat2,2
English,A,A,Strat2,4
English,A,A,Strat2,5
English,A,A,Strat2,4
English,A,A,Strat2,5
English,A,A,Strat2,1
English,A,A,Strat2,5
English,A,A,Strat2,2
English,A,A,Strat2,5
English,A,A,Strat2,4
English,A,A,Strat2,5
English,A,A,Strat2,5
English,A,A,Strat2,4
English,A,A,Strat2,4
English,A,A,Strat2,5
English,A,A,Strat2,4
English,A,B,Strat2,2
English,A,B,Strat2,5
English,A,B,Strat2,2
English,A,B,Strat2,4
English,A,B,Strat2,2
English,A,B,Strat2,4
English,A,B,Strat2,3
English,A,B,Strat2,5
English,A,B,Strat2,1
English,A,B,Strat2,1
English,A,B,Strat2,5
English,A,B,Strat2,1
English,A,B,Strat2,4
English,A,B,Strat2,5
English,A,B,Strat2,4
English,A,B,Strat2,2
English,A,B,Strat2,2
English,A,B,Strat2,1
English,A,B,Strat2,4
English,A,B,Strat2,3
English,A,B,Strat2,4
English,A,B,Strat2,1
English,A,B,Strat2,2
English,A,B,Strat2,2
English,A,B,Strat2,4
English,A,B,Strat2,5
English,A,B,Strat2,2
English,A,B,Strat2,5
English,A,B,Strat2,2
English,A,B,Strat2,1
English,A,B,Strat2,5
English,A,B,Strat2,2
English,A,B,Strat2,5
English,A,B,Strat2,5
English,A,B,Strat2,2
English,A,B,Strat2,5
